elementID numTraitLossSpecies numTraitPreservingSpecies numTraitLossBranches numTraitPreservingBranches PerfectMatchMargin GLS_Pvalue weightedPearsonCorrelationCoeff weightedPearsonCorrelation_Pvalue 
CNE00000002 13 1 15 11 -0.093105272438723 0.997806907255045 0.182749632845964 0.187843801446858
CNE00000003 13 1 15 11 -0.0542087542087549 0.645314672891299 0.247780696841112 0.11388283346809
CNE00000004 13 1 15 11 -0.101851851851852 0.438969445823232 0.178109316657191 0.19402510822997
CNE00000005 13 1 15 11 -0.125 0.472009640756051 0.238972970877895 0.122458770614632
CNE00000007 13 1 15 11 -0.177745512699114 0.638023484775767 0.0883674420972412 0.334756669613361
CNE00000008 13 1 15 11 -0.085714285714286 0.849563856361798 -0.104981705632916 0.694041408604907
CNE00000022 13 1 15 11 -0.068181818181818 0.549138375702369 0.0342737025437198 0.434318128899457
CNE00000024 13 1 15 11 -0.074626865671642 0.618820091887654 0.292001025457516 0.076818308379292
CNE00000026 13 1 15 11 -0.061538461538461 0.589462448000859 0.0768224503543178 0.355319823570483
CNE00000025 13 1 15 11 -0.061538461538462 0.387774644485865 0.363442685799731 0.0368165838107673
CNE00000027 13 1 15 11 -0.1 0.578669217833961 -0.11121186657056 0.704532773971474
CNE00000028 13 1 15 11 -0.0441176470588229 0.558885401706966 0.00108943402293307 0.497903025144175
CNE00000029 13 1 15 11 -0.066666666666667 0.291399765074783 0.134592044661934 0.257519273113192
CNE00000030 13 1 15 11 -0.097222222222223 0.620896236696689 0.0770820580652507 0.354846192032033
CNE00000010 13 1 15 11 -0.0215827338129491 0.12738800257167 0.298971690085834 0.0719185497142498
CNE00000011 13 1 15 11 -0.09375 0.322273266087389 0.321399119799448 0.0576451016854815
CNE00000012 13 1 15 11 -0.085714285714286 0.993752499595006 -0.151556771409217 0.76841536047637
CNE00000013 13 1 15 11 -0.174142814864922 0.571083682309157 0.0852641690291748 0.340252858830589
CNE00000016 13 1 15 11 -0.201054263565892 0.999455582606075 0.0889797462272642 0.333690424573587
CNE00000018 13 1 15 11 -0.106382978723404 0.996998646425674 0.233445347987455 0.128186708070291
CNE00000019 13 1 15 11 -0.050555230859147 0.967707378869462 0.21014330664152 0.15379954840734
CNE00000020 13 1 15 11 -0.122740185950413 0.999991433345357 -0.135525585568797 0.743943048347434
