elementID	start	end	name	null_scale	alt_scale	alt_subscale	lnlratio	pval
CNE00000002	0	105	bed.1	0.40393	0.38148	2.97710	1.03182	-0.15085
CNE00000003	0	55	bed.1	0.44708	0.46149	0.00000	0.59498	0.27534
CNE00000004	0	108	bed.1	0.64129	0.64987	0.58434	0.16945	0.56046
CNE00000005	0	128	bed.1	0.80035	0.79438	1.24290	0.06311	-0.72238
CNE00000007	0	52	bed.1	0.62431	0.64501	0.00000	0.76919	0.21486
CNE00000008	0	211	bed.1	0.79083	0.80896	0.29526	1.22971	0.11682
CNE00000009	0	34	bed.1	0.40094	0.41320	0.00000	0.32866	0.41751
CNE00000010	0	228	bed.1	0.94610	0.94629	0.99627	0.00003	0.99389
CNE00000021	0	44	bed.1	0.26667	0.27532	0.00000	0.28513	0.45015
CNE00000022	0	41	bed.1	0.26667	0.27532	0.00000	0.28513	0.45015
CNE00000023	0	66	bed.1	0.42269	0.43627	0.00000	0.68854	0.24060
CNE00000024	0	65	bed.1	0.28914	0.29826	0.00000	0.46237	0.33623
CNE00000025	0	130	bed.1	0.35563	0.35563	0.00000	1.14610	0.13003
CNE00000026	0	40	bed.1	0.34151	0.35245	0.00000	0.34379	0.40699
CNE00000027	0	136	bed.1	0.38771	0.40028	0.00000	1.29700	0.10727
CNE00000028	0	90	bed.1	0.36088	0.37237	0.00000	0.80697	0.20394
CNE00000029	0	142	bed.1	0.36361	0.37521	0.00000	1.27525	0.11026
CNE00000030	0	90	bed.1	0.36088	0.37237	0.00000	0.80697	0.20394
CNE00000031	0	144	bed.1	0.36361	0.37521	0.00000	1.27525	0.11026
CNE00000010	0	139	bed.1	0.19591	0.20206	0.00000	0.67636	0.24480
CNE00000011	0	139	bed.1	0.19591	0.20206	0.00000	0.67636	0.24480
CNE00000012	0	139	bed.1	0.19591	0.20206	0.00000	0.67636	0.24480
CNE00000013	0	32	bed.1	0.27038	0.27890	0.00000	0.21570	0.51131
CNE00000014	0	34	bed.1	0.25239	0.26012	0.00000	0.20978	0.51716
CNE00000015	0	127	bed.1	0.88166	0.82047	3.57861	4.15757	-0.00393
CNE00000016	0	130	bed.1	0.88166	0.82047	3.57861	4.15757	-0.00393
CNE00000017	0	47	bed.1	0.44337	0.39924	4.74597	1.43702	-0.09002
CNE00000018	0	58	bed.1	0.37842	0.39037	0.00000	0.52333	0.30628
CNE00000019	0	127	bed.1	0.44146	0.37929	6.58465	6.39074	-0.00035
CNE00000020	0	58	bed.1	0.37842	0.39037	0.00000	0.52333	0.30628
CNE00000021	0	121	bed.1	0.44146	0.37929	6.58465	6.39074	-0.00035
